PopSet,LinePair,JointScaleCrossType,AliveYoN,SizeCat,FruitNum,SeedNumPerFruit,FxS,Cumulfit
CR,CR2,BC1P1,1,1,113,52,5876,5876
CR,CR1,BC1P1,1,1,115,45,5175,5175
BS,BS2,F2,1,1,129,54,6966,6966
CR,CR2,F1,1,1,107,46,4922,4922
BS,BS2,BC1P2,1,1,100,42,4200,4200
BS,BS1,F2,0,,,,,0
BS,BS1,BC1P2,1,1,92,45,4140,4140
BS,BS2,F2,1,0,87,28,2436,2436
CR,CR1,BC1P2,1,1,97,56,5432,5432
CR,CR1,P2,1,1,66,48,3168,3168
BS,BS1,rF2,1,1,92,57,5244,5244
BS,BS2,F2,1,1,142,38,5396,5396
BS,BS2,F2,1,1,91,45,4095,4095
BS,BS1,P2,1,1,102,37,3774,3774
CR,CR1,BC1P1,1,1,128,43,5504,5504
CR,CR2,F2,1,1,123,42,5166,5166
CR,CR2,F2,1,1,96,50,4800,4800
CR,CR2,BC1P1,1,1,139,51,7089,7089
BS,BS1,BC1P1,1,1,150,22,3300,3300
BS,BS1,F1,1,1,145,43,6235,6235
BS,BS2,BC1P2,1,1,93,33,3069,3069
BS,BS1,rF1,1,0,96,28,2688,2688
CR,CR2,F2,1,1,111,53,5883,5883
BS,BS2,BC1P2,1,1,73,50,3650,3650
BS,BS1,rF2,1,1,89,55,4895,4895
BS,BS1,BC1P1,0,,,,,0
BS,BS2,BC1P2,1,1,87,41,3567,3567
BS,BS1,F2,1,1,91,49,4459,4459
CR,CR1,P1,1,1,125,42,5250,5250
BS,BS1,rF1,1,0,75,16,1200,1200
BS,BS1,F1,1,1,84,40,3360,3360
BS,BS2,F2,1,1,144,37,5328,5328
CR,CR1,F2,1,1,92,60,5520,5520
BS,BS1,BC1P2,1,1,116,35,4060,4060
CR,CR1,F2,1,1,86,44,3784,3784
BS,BS2,P1,1,1,146,50,7300,7300
CR,CR1,F1,1,1,88,52,4576,4576
CR,CR2,rF2,1,1,104,53,5512,5512
BS,BS1,P2,1,1,49,44,2156,2156
CR,CR1,rF2,1,1,89,48,4272,4272
BS,BS2,F2,1,1,110,51,5610,5610
CR,CR1,rF2,1,1,99,40,3960,3960
CR,CR1,P2,1,1,55,46,2530,2530
CR,CR2,F1,1,1,105,45,4725,4725
CR,CR1,BC1P2,1,1,93,45,4185,4185
BS,BS1,BC1P2,1,1,120,42,5040,5040
CR,CR2,P1,1,1,117,50,5850,5850
CR,CR1,BC1P1,1,1,114,52,5928,5928
CR,CR1,BC1P1,1,1,117,48,5616,5616
CR,CR1,rF2,1,1,125,48,6000,6000
CR,CR1,BC1P1,1,1,118,34,4012,4012
BS,BS1,BC1P2,1,1,103,47,4841,4841
CR,CR2,BC1P2,1,1,74,49,3626,3626
CR,CR1,BC1P1,1,1,111,46,5106,5106
CR,CR1,P2,1,1,47,47,2209,2209
BS,BS1,F1,1,1,112,44,4928,4928
CR,CR1,F1,1,1,116,41,4756,4756
CR,CR1,F2,1,1,124,29,3596,3596
BS,BS2,P1,1,1,132,52,6864,6864
BS,BS2,BC1P2,1,1,82,46,3772,3772
CR,CR2,rF2,1,1,81,40,3240,3240
CR,CR2,BC1P2,1,1,72,47,3384,3384
CR,CR1,F2,1,1,109,43,4687,4687
CR,CR1,rF2,1,1,65,51,3315,3315
BS,BS1,F1,1,1,111,45,4995,4995
BS,BS2,F2,1,1,128,41,5248,5248
CR,CR2,BC1P1,1,1,105,47,4935,4935
CR,CR1,rF2,1,1,58,43,2494,2494
CR,CR2,rF1,1,1,107,52,5564,5564
BS,BS2,F1,1,0,99,31,3069,3069
CR,CR1,BC1P2,1,1,67,55,3685,3685
BS,BS1,F2,1,1,92,47,4324,4324
BS,BS1,BC1P2,1,1,67,40,2680,2680
CR,CR1,rF1,1,1,130,39,5070,5070
BS,BS1,BC1P2,1,1,158,25,3950,3950
CR,CR1,BC1P2,1,1,87,51,4437,4437
BS,BS2,BC1P2,1,1,94,49,4606,4606
CR,CR1,BC1P1,1,1,133,50,6650,6650
BS,BS2,BC1P2,1,1,112,49,5488,5488
CR,CR2,BC1P1,1,1,109,51,5559,5559
BS,BS2,BC1P1,1,1,148,46,6808,6808
CR,CR1,rF2,1,1,89,50,4450,4450
BS,BS1,F2,1,1,53,52,2756,2756
CR,CR1,rF1,1,1,94,38,3572,3572
CR,CR2,BC1P1,1,1,133,46,6118,6118
BS,BS1,BC1P1,1,1,161,36,5796,5796
CR,CR1,BC1P1,1,1,112,49,5488,5488
CR,CR2,rF2,1,1,50,50,2500,2500
BS,BS2,rF2,1,1,111,41,4551,4551
CR,CR2,F2,1,1,92,43,3956,3956
CR,CR1,BC1P1,1,1,109,58,6322,6322
BS,BS2,P2,1,1,60,51,3060,3060
CR,CR2,F2,1,1,107,42,4494,4494
CR,CR2,BC1P1,1,1,110,47,5170,5170
CR,CR1,rF2,1,1,93,45,4185,4185
CR,CR1,BC1P1,0,,,,,0
BS,BS2,F1,0,,,,,0
CR,CR1,F2,1,1,98,57,5586,5586
BS,BS2,rF2,1,0,38,18,684,684
BS,BS1,P2,1,1,59,48,2832,2832
CR,CR2,BC1P1,1,1,102,49,4998,4998
BS,BS1,rF2,1,1,135,49,6615,6615
CR,CR1,BC1P2,1,1,104,54,5616,5616
BS,BS2,F2,1,1,150,36,5400,5400
CR,CR2,P1,1,1,122,50,6100,6100
BS,BS2,rF2,1,1,155,34,5270,5270
BS,BS1,rF2,1,1,111,55,6105,6105
CR,CR1,BC1P2,1,1,87,51,4437,4437
CR,CR2,rF2,1,1,98,41,4018,4018
BS,BS2,rF2,1,1,114,45,5130,5130
BS,BS1,BC1P2,1,1,94,44,4136,4136
CR,CR1,BC1P1,1,1,130,55,7150,7150
BS,BS2,rF2,1,1,157,40,6280,6280
BS,BS1,BC1P2,1,1,130,41,5330,5330
BS,BS2,BC1P2,1,1,126,53,6678,6678
BS,BS2,P2,1,1,66,49,3234,3234
CR,CR1,F2,1,1,103,41,4223,4223
BS,BS1,BC1P2,1,1,104,48,4992,4992
BS,BS1,rF2,1,1,144,46,6624,6624
BS,BS1,BC1P2,1,1,115,45,5175,5175
BS,BS2,BC1P2,1,1,107,46,4922,4922
CR,CR2,rF1,1,1,109,47,5123,5123
BS,BS2,BC1P2,1,0,87,20,1740,1740
CR,CR2,F2,1,1,113,56,6328,6328
BS,BS2,BC1P1,1,0,94,30,2820,2820
BS,BS2,F2,1,0,41,28,1148,1148
BS,BS2,BC1P2,1,1,146,48,7008,7008
CR,CR1,P2,1,1,93,45,4185,4185
CR,CR2,P2,1,1,68,56,3808,3808
CR,CR1,rF2,1,1,128,44,5632,5632
CR,CR1,F2,1,1,116,46,5336,5336
CR,CR1,P1,1,1,127,43,5461,5461
CR,CR1,F2,1,1,113,46,5198,5198
BS,BS2,rF2,1,1,128,44,5632,5632
CR,CR2,BC1P2,1,1,88,42,3696,3696
BS,BS2,F2,0,,,,,0
CR,CR1,BC1P1,1,1,116,43,4988,4988
BS,BS1,F2,1,1,80,43,3440,3440
BS,BS2,BC1P2,1,1,94,41,3854,3854
BS,BS2,BC1P2,1,1,105,43,4515,4515
CR,CR1,rF2,1,1,89,56,4984,4984
BS,BS1,P1,1,1,167,33,5511,5511
CR,CR2,F2,1,1,71,52,3692,3692
CR,CR2,BC1P2,1,1,81,49,3969,3969
BS,BS2,BC1P1,1,0,66,23,1518,1518
BS,BS2,BC1P1,0,,,,,0
BS,BS1,F2,0,,,,,0
CR,CR1,F2,1,1,126,34,4284,4284
BS,BS1,BC1P1,1,1,157,51,8007,8007
BS,BS1,BC1P1,1,1,168,36,6048,6048
CR,CR1,BC1P2,1,1,77,47,3619,3619
CR,CR1,BC1P2,1,1,121,47,5687,5687
CR,CR2,F1,1,1,112,52,5824,5824
CR,CR1,rF1,1,1,130,50,6500,6500
CR,CR1,rF1,1,1,113,44,4972,4972
BS,BS2,P1,1,1,129,46,5934,5934
CR,CR2,F1,1,1,118,47,5546,5546
BS,BS1,BC1P2,1,1,110,34,3740,3740
CR,CR1,BC1P2,1,1,107,52,5564,5564
BS,BS1,P1,1,1,152,51,7752,7752
BS,BS2,rF2,1,1,83,53,4399,4399
BS,BS1,BC1P2,1,1,130,38,4940,4940
CR,CR1,F2,1,1,119,46,5474,5474
CR,CR2,F2,1,1,100,46,4600,4600
CR,CR2,BC1P1,1,1,133,43,5719,5719
BS,BS1,F2,1,1,116,41,4756,4756
BS,BS2,rF2,1,1,83,1,83,83
BS,BS2,BC1P1,1,1,142,48,6816,6816
BS,BS2,F1,1,0,76,22,1672,1672
CR,CR2,BC1P1,1,1,125,35,4375,4375
BS,BS2,rF2,1,1,129,39,5031,5031
CR,CR1,BC1P1,1,1,114,55,6270,6270
BS,BS1,P2,1,1,106,41,4346,4346
BS,BS2,F2,0,,,,,0
CR,CR1,BC1P2,1,1,94,45,4230,4230
BS,BS2,rF2,0,,,,,0
CR,CR2,F2,1,1,105,48,5040,5040
CR,CR1,F2,1,1,109,36,3924,3924
BS,BS1,BC1P1,1,1,166,48,7968,7968
CR,CR2,BC1P1,1,1,134,39,5226,5226
BS,BS1,P1,1,1,155,47,7285,7285
BS,BS2,BC1P1,1,1,186,31,5766,5766
CR,CR2,rF1,1,1,140,47,6580,6580
CR,CR1,BC1P2,1,1,97,46,4462,4462
BS,BS1,BC1P1,1,1,171,26,4446,4446
BS,BS2,rF1,1,0,144,27,3888,3888
BS,BS2,BC1P2,1,1,103,49,5047,5047
BS,BS2,P1,1,1,152,43,6536,6536
BS,BS2,F2,1,1,148,43,6364,6364
CR,CR1,BC1P2,1,1,116,44,5104,5104
CR,CR1,BC1P2,1,1,99,51,5049,5049
BS,BS1,F2,1,1,117,28,3276,3276
BS,BS1,BC1P1,0,,,,,0
CR,CR2,rF1,1,1,121,61,7381,7381
BS,BS2,BC1P1,1,0,149,19,2831,2831
BS,BS2,rF2,1,1,162,39,6318,6318
BS,BS2,BC1P2,1,1,109,42,4578,4578
CR,CR2,BC1P1,1,1,106,47,4982,4982
CR,CR1,BC1P1,1,1,108,54,5832,5832
CR,CR2,rF2,1,1,113,45,5085,5085
BS,BS1,F2,1,1,152,60,9120,9120
CR,CR1,F2,1,1,133,52,6916,6916
BS,BS1,rF2,1,1,131,41,5371,5371
CR,CR2,F2,1,1,91,59,5369,5369
CR,CR2,BC1P1,1,1,120,50,6000,6000
BS,BS1,rF2,1,1,139,40,5560,5560
CR,CR1,F2,1,1,124,44,5456,5456
CR,CR2,BC1P2,1,1,90,36,3240,3240
CR,CR2,BC1P1,1,1,126,48,6048,6048
CR,CR2,P1,1,1,109,47,5123,5123
CR,CR1,F2,1,1,104,56,5824,5824
BS,BS2,P2,1,1,99,55,5445,5445
BS,BS1,rF2,0,,,,,0
CR,CR1,BC1P1,1,1,126,53,6678,6678
CR,CR1,BC1P2,1,1,112,52,5824,5824
CR,CR1,rF1,1,1,134,43,5762,5762
CR,CR2,F1,1,1,98,53,5194,5194
CR,CR1,rF2,1,1,117,49,5733,5733
CR,CR1,F1,1,1,111,43,4773,4773
BS,BS1,F2,1,1,55,50,2750,2750
BS,BS1,BC1P2,1,1,49,52,2548,2548
CR,CR1,rF2,1,1,71,51,3621,3621
BS,BS2,BC1P2,1,1,132,30,3960,3960
BS,BS1,F1,1,1,118,40,4720,4720
BS,BS1,BC1P2,1,0,79,20,1580,1580
CR,CR1,BC1P1,1,1,115,56,6440,6440
BS,BS2,rF1,1,1,94,27,2538,2538
BS,BS2,P1,1,1,132,56,7392,7392
CR,CR2,rF2,1,1,116,46,5336,5336
CR,CR1,BC1P2,1,1,113,54,6102,6102
CR,CR1,BC1P2,1,1,110,43,4730,4730
CR,CR2,BC1P2,1,1,72,59,4248,4248
BS,BS1,F2,1,1,104,46,4784,4784
BS,BS1,BC1P1,1,1,151,55,8305,8305
BS,BS2,BC1P2,1,1,96,44,4224,4224
BS,BS2,BC1P1,1,1,170,43,7310,7310
CR,CR2,rF2,1,1,112,64,7168,7168
CR,CR1,F1,1,1,112,45,5040,5040
BS,BS1,P1,1,1,168,35,5880,5880
BS,BS2,BC1P2,1,1,111,51,5661,5661
BS,BS1,rF2,1,1,122,39,4758,4758
BS,BS2,BC1P2,1,1,119,36,4284,4284
CR,CR1,P1,1,1,121,41,4961,4961
CR,CR1,rF2,1,1,137,46,6302,6302
CR,CR1,BC1P1,1,1,112,53,5936,5936
BS,BS1,BC1P2,1,1,124,44,5456,5456
BS,BS1,rF2,1,1,126,51,6426,6426
CR,CR1,rF2,1,1,128,52,6656,6656
BS,BS1,rF2,1,1,123,51,6273,6273
BS,BS1,BC1P2,1,1,135,39,5265,5265
CR,CR1,BC1P1,1,1,99,58,5742,5742
BS,BS2,F2,1,1,117,48,5616,5616
CR,CR1,BC1P2,1,1,98,45,4410,4410
BS,BS2,P2,1,1,102,51,5202,5202
BS,BS1,BC1P2,1,1,119,31,3689,3689
BS,BS2,F2,1,0,90,24,2160,2160
CR,CR1,F2,1,1,98,37,3626,3626
BS,BS1,P2,1,1,106,49,5194,5194
BS,BS1,BC1P2,1,1,123,44,5412,5412
BS,BS2,rF2,1,1,126,42,5292,5292
BS,BS1,BC1P1,1,1,119,49,5831,5831
CR,CR1,BC1P2,1,1,85,63,5355,5355
CR,CR1,rF2,1,1,121,56,6776,6776
BS,BS2,P1,1,1,182,58,10556,10556
CR,CR1,BC1P1,1,1,120,46,5520,5520
CR,CR2,F1,1,1,104,59,6136,6136
CR,CR2,P1,1,1,134,30,4020,4020
CR,CR2,rF2,1,1,116,54,6264,6264
CR,CR2,F1,1,1,130,54,7020,7020
CR,CR1,F2,1,1,111,45,4995,4995
BS,BS1,rF2,1,1,174,44,7656,7656
BS,BS1,rF2,1,1,129,25,3225,3225
CR,CR1,rF2,1,1,136,45,6120,6120
CR,CR1,BC1P1,1,1,158,39,6162,6162
BS,BS1,BC1P2,1,1,106,49,5194,5194
BS,BS2,rF2,1,1,107,55,5885,5885
CR,CR1,rF2,1,1,103,40,4120,4120
CR,CR2,BC1P1,1,1,117,48,5616,5616
CR,CR2,rF2,1,1,106,41,4346,4346
CR,CR1,rF2,1,1,119,52,6188,6188
BS,BS2,BC1P2,1,1,153,42,6426,6426
CR,CR2,F1,1,1,118,57,6726,6726
CR,CR1,BC1P1,1,1,86,60,5160,5160
CR,CR2,rF2,1,1,100,61,6100,6100
BS,BS2,rF2,1,1,155,53,8215,8215
CR,CR1,P2,1,1,74,40,2960,2960
BS,BS1,BC1P1,1,1,147,32,4704,4704
CR,CR1,rF2,1,1,113,50,5650,5650
CR,CR1,F2,1,1,126,38,4788,4788
CR,CR2,rF2,1,1,119,44,5236,5236
BS,BS2,BC1P1,1,1,210,41,8610,8610
CR,CR1,P2,1,1,78,46,3588,3588
BS,BS2,P2,1,1,98,46,4508,4508
BS,BS2,F2,1,0,71,25,1775,1775
BS,BS2,BC1P1,1,1,139,47,6533,6533
CR,CR1,BC1P1,1,1,125,53,6625,6625
CR,CR1,rF2,1,1,113,65,7345,7345
BS,BS2,F2,1,1,148,50,7400,7400
CR,CR1,rF2,1,1,141,55,7755,7755
BS,BS1,rF2,1,1,130,48,6240,6240
CR,CR1,BC1P1,1,1,117,50,5850,5850
BS,BS2,rF2,1,0,61,26,1586,1586
CR,CR2,F2,1,1,76,33,2508,2508
BS,BS1,BC1P2,1,1,36,57,2052,2052
CR,CR1,rF1,1,1,93,43,3999,3999
CR,CR1,BC1P1,1,1,104,54,5616,5616
BS,BS2,F2,1,1,105,51,5355,5355
CR,CR1,rF2,1,1,124,47,5828,5828
BS,BS2,BC1P2,1,1,141,46,6486,6486
BS,BS1,BC1P1,1,1,122,46,5612,5612
BS,BS2,rF2,1,1,118,21,2478,2478
BS,BS2,P1,1,1,156,54,8424,8424
BS,BS2,rF2,1,1,150,36,5400,5400
BS,BS1,BC1P1,1,1,126,29,3654,3654
BS,BS1,rF1,1,1,115,44,5060,5060
BS,BS2,rF2,1,1,126,38,4788,4788
BS,BS2,BC1P2,1,1,111,45,4995,4995
BS,BS1,rF2,1,0,134,23,3082,3082
BS,BS1,BC1P1,1,1,146,35,5110,5110
CR,CR2,BC1P1,1,1,112,50,5600,5600
BS,BS1,rF2,1,1,49,45,2205,2205
BS,BS1,rF1,1,1,106,47,4982,4982
BS,BS2,P2,1,1,89,46,4094,4094
BS,BS1,BC1P1,1,1,101,40,4040,4040
CR,CR2,F2,1,1,94,47,4418,4418
BS,BS1,BC1P1,1,1,97,45,4365,4365
BS,BS1,rF2,1,1,98,47,4606,4606
CR,CR2,rF2,1,1,74,46,3404,3404
CR,CR1,BC1P1,1,1,122,44,5368,5368
CR,CR2,BC1P2,1,1,106,50,5300,5300
BS,BS2,F2,1,0,48,29,1392,1392
BS,BS1,F2,1,1,69,38,2622,2622
BS,BS2,F2,1,1,79,50,3950,3950
BS,BS2,BC1P2,1,1,129,34,4386,4386
BS,BS2,F2,1,1,115,43,4945,4945
CR,CR2,BC1P2,1,1,87,48,4176,4176
BS,BS2,F2,1,1,72,40,2880,2880
CR,CR1,P2,1,1,58,44,2552,2552
CR,CR1,BC1P2,1,1,83,35,2905,2905
CR,CR2,BC1P2,1,1,91,32,2912,2912
CR,CR2,BC1P1,1,1,107,44,4708,4708
BS,BS1,BC1P2,1,0,96,28,2688,2688
BS,BS1,P1,1,1,140,47,6580,6580
BS,BS2,rF2,1,0,115,26,2990,2990
CR,CR2,BC1P1,1,1,110,51,5610,5610
CR,CR2,BC1P2,1,1,73,49,3577,3577
CR,CR1,rF2,1,1,117,57,6669,6669
BS,BS1,BC1P2,1,0,3,,,
CR,CR2,BC1P2,1,1,97,54,5238,5238
BS,BS2,rF1,1,1,94,42,3948,3948
BS,BS2,rF2,1,1,126,34,4284,4284
BS,BS1,F2,1,1,107,18,1926,1926
BS,BS2,BC1P2,1,1,100,38,3800,3800
BS,BS2,F2,1,1,125,48,6000,6000
BS,BS2,F2,1,1,117,59,6903,6903
BS,BS2,rF2,1,1,181,24,4344,4344
CR,CR1,F2,1,1,100,37,3700,3700
BS,BS2,F2,1,1,107,49,5243,5243
BS,BS2,BC1P1,1,0,123,24,2952,2952
CR,CR2,F2,1,1,107,50,5350,5350
BS,BS2,F2,1,1,154,42,6468,6468
BS,BS1,BC1P2,1,1,90,42,3780,3780
CR,CR2,rF2,1,1,77,55,4235,4235
CR,CR2,BC1P1,1,1,118,33,3894,3894
BS,BS1,BC1P2,1,1,126,31,3906,3906
CR,CR1,BC1P2,1,1,82,44,3608,3608
CR,CR2,F2,1,1,100,50,5000,5000
CR,CR2,BC1P2,1,1,90,35,3150,3150
BS,BS1,F1,1,1,89,42,3738,3738
BS,BS1,BC1P1,1,1,129,26,3354,3354
CR,CR2,BC1P1,1,1,102,50,5100,5100
BS,BS1,F2,1,1,52,48,2496,2496
BS,BS2,BC1P1,1,1,143,45,6435,6435
CR,CR2,BC1P2,1,1,110,42,4620,4620
CR,CR2,P1,1,1,152,47,7144,7144
BS,BS1,F2,1,1,89,43,3827,3827
CR,CR1,BC1P2,1,1,55,49,2695,2695
CR,CR1,F1,1,1,95,55,5225,5225
BS,BS2,F2,1,1,109,47,5123,5123
CR,CR2,rF1,1,1,88,43,3784,3784
CR,CR2,F2,1,1,137,36,4932,4932
BS,BS2,BC1P1,1,0,95,27,2565,2565
CR,CR2,F2,1,1,90,48,4320,4320
CR,CR2,rF2,1,1,125,47,5875,5875
BS,BS2,rF1,1,0,99,30,2970,2970
BS,BS2,BC1P1,1,1,137,55,7535,7535
BS,BS2,BC1P1,1,1,127,59,7493,7493
BS,BS2,F2,1,1,80,48,3840,3840
BS,BS2,rF2,1,1,90,38,3420,3420
CR,CR2,F2,1,1,107,60,6420,6420
CR,CR1,F2,1,1,88,34,2992,2992
CR,CR2,rF2,1,1,97,57,5529,5529
BS,BS1,F2,1,1,154,15,2310,2310
CR,CR2,BC1P1,1,1,130,31,4030,4030
CR,CR2,F2,1,1,82,56,4592,4592
CR,CR1,F1,1,1,148,29,4292,4292
BS,BS1,F2,1,1,79,49,3871,3871
BS,BS2,rF2,1,0,115,23,2645,2645
CR,CR2,rF2,1,1,73,40,2920,2920
BS,BS2,BC1P2,1,1,103,28,2884,2884
CR,CR1,BC1P1,1,1,113,45,5085,5085
BS,BS1,rF1,1,1,129,48,6192,6192
CR,CR2,BC1P1,1,1,118,46,5428,5428
BS,BS1,F2,1,1,98,45,4410,4410
BS,BS2,BC1P1,1,0,114,33,3762,3762
CR,CR1,F2,1,1,126,44,5544,5544
CR,CR2,BC1P2,1,1,70,50,3500,3500
CR,CR2,P2,1,1,69,50,3450,3450
CR,CR2,F2,1,1,132,43,5676,5676
CR,CR2,F2,1,1,76,44,3344,3344
CR,CR1,rF1,1,1,93,50,4650,4650
BS,BS1,rF2,1,1,118,45,5310,5310
CR,CR2,BC1P2,1,1,113,53,5989,5989
CR,CR1,rF2,1,1,129,45,5805,5805
BS,BS1,F2,1,1,93,50,4650,4650
CR,CR1,BC1P1,1,1,119,48,5712,5712
BS,BS1,rF2,1,1,96,51,4896,4896
BS,BS1,BC1P2,1,0,119,16,1904,1904
BS,BS1,BC1P1,1,1,154,43,6622,6622
BS,BS2,F1,1,0,46,35,1610,1610
BS,BS2,F2,1,1,113,44,4972,4972
CR,CR1,BC1P2,1,1,122,52,6344,6344
BS,BS1,F1,1,1,134,43,5762,5762
BS,BS1,F2,1,1,70,46,3220,3220
CR,CR2,BC1P1,1,1,134,50,6700,6700
CR,CR1,rF2,1,1,102,54,5508,5508
BS,BS2,F2,1,1,124,48,5952,5952
CR,CR1,rF2,1,1,125,41,5125,5125
CR,CR1,rF2,1,1,86,51,4386,4386
BS,BS1,P1,1,1,158,33,5214,5214
BS,BS2,rF1,1,0,49,28,1372,1372
CR,CR1,rF2,1,1,77,50,3850,3850
BS,BS2,F1,1,0,19,7,133,133
CR,CR1,BC1P2,1,1,70,53,3710,3710
BS,BS1,rF2,1,1,150,39,5850,5850
CR,CR1,BC1P1,1,1,122,50,6100,6100
CR,CR1,rF2,1,1,112,42,4704,4704
BS,BS1,rF2,1,1,117,45,5265,5265
BS,BS1,rF1,1,1,133,43,5719,5719
BS,BS2,P1,1,1,151,49,7399,7399
BS,BS1,rF1,1,0,53,19,1007,1007
BS,BS2,rF2,1,1,141,30,4230,4230
BS,BS1,BC1P2,1,0,55,28,1540,1540
CR,CR2,BC1P1,1,1,120,47,5640,5640
BS,BS2,BC1P1,0,,,,,0
CR,CR1,F2,1,1,133,46,6118,6118
CR,CR1,P1,1,1,126,43,5418,5418
CR,CR1,P1,1,1,128,51,6528,6528
CR,CR1,BC1P2,1,1,64,47,3008,3008
CR,CR1,F2,1,1,136,49,6664,6664
BS,BS2,rF2,1,1,121,33,3993,3993
BS,BS2,F2,1,0,34,28,952,952
BS,BS2,BC1P2,1,1,163,46,7498,7498
CR,CR1,BC1P2,1,1,125,46,5750,5750
CR,CR1,F2,0,,,,,0
BS,BS2,rF2,0,,,,,0
CR,CR2,BC1P1,1,1,125,45,5625,5625
BS,BS1,rF2,1,1,116,49,5684,5684
CR,CR2,BC1P1,1,1,117,44,5148,5148
BS,BS2,rF1,1,1,110,50,5500,5500
CR,CR2,rF2,1,1,116,56,6496,6496
CR,CR2,rF2,1,1,99,51,5049,5049
CR,CR1,P1,1,1,138,37,5106,5106
BS,BS1,P1,1,1,163,41,6683,6683
CR,CR2,F2,1,1,100,51,5100,5100
BS,BS2,F2,1,1,130,50,6500,6500
CR,CR1,F2,1,1,74,49,3626,3626
BS,BS1,F2,1,1,73,52,3796,3796
BS,BS1,BC1P1,1,0,34,26,884,884
BS,BS2,P2,1,1,91,37,3367,3367
BS,BS2,BC1P2,1,1,101,44,4444,4444
CR,CR2,rF1,1,1,88,47,4136,4136
CR,CR1,F2,1,1,85,48,4080,4080
CR,CR2,rF2,1,1,106,38,4028,4028
BS,BS2,F2,1,0,89,28,2492,2492
BS,BS2,rF2,1,1,157,29,4553,4553
CR,CR2,BC1P1,1,1,134,40,5360,5360
BS,BS1,F2,1,1,43,56,2408,2408
CR,CR2,F2,1,1,120,53,6360,6360
CR,CR2,rF2,1,1,118,53,6254,6254
CR,CR1,BC1P1,1,1,103,48,4944,4944
BS,BS2,BC1P1,1,0,109,30,3270,3270
CR,CR2,rF2,1,1,100,47,4700,4700
CR,CR1,BC1P2,1,1,96,48,4608,4608
BS,BS2,rF2,1,1,120,36,4320,4320
CR,CR1,rF2,1,1,106,44,4664,4664
BS,BS1,P1,1,1,146,48,7008,7008
CR,CR1,rF2,1,1,99,47,4653,4653
BS,BS2,BC1P1,1,1,156,41,6396,6396
CR,CR2,BC1P1,1,1,127,54,6858,6858
CR,CR2,F2,1,1,119,47,5593,5593
CR,CR1,F1,1,1,99,46,4554,4554
CR,CR1,BC1P1,1,1,121,36,4356,4356
CR,CR2,P2,1,1,86,48,4128,4128
BS,BS1,BC1P2,1,1,122,31,3782,3782
CR,CR2,BC1P2,1,1,84,47,3948,3948
BS,BS1,F1,1,1,133,42,5586,5586
BS,BS1,BC1P1,1,1,112,41,4592,4592
BS,BS1,rF2,1,1,135,51,6885,6885
CR,CR1,BC1P1,1,1,128,42,5376,5376
BS,BS2,rF2,1,1,126,49,6174,6174
CR,CR1,F2,1,1,94,47,4418,4418
CR,CR2,F2,1,1,44,41,1804,1804
BS,BS2,F2,1,1,108,51,5508,5508
CR,CR2,rF1,1,1,81,61,4941,4941
BS,BS1,BC1P1,1,1,39,1,39,39
CR,CR2,F2,1,1,73,55,4015,4015
BS,BS1,BC1P2,1,1,76,30,2280,2280
CR,CR2,BC1P1,1,1,105,53,5565,5565
BS,BS2,rF2,1,1,101,35,3535,3535
BS,BS1,rF2,1,1,80,48,3840,3840
BS,BS2,rF2,1,1,138,27,3726,3726
BS,BS2,rF1,1,0,92,35,3220,3220
CR,CR1,rF2,1,1,72,46,3312,3312
CR,CR2,BC1P2,1,1,71,50,3550,3550
CR,CR1,BC1P1,1,1,94,51,4794,4794
CR,CR2,P2,1,1,65,50,3250,3250
CR,CR1,F2,1,1,88,49,4312,4312
CR,CR1,F1,1,1,103,30,3090,3090
CR,CR2,F2,1,1,96,47,4512,4512
BS,BS2,rF2,1,1,143,28,4004,4004
BS,BS1,BC1P2,1,0,136,23,3128,3128
BS,BS2,rF2,1,0,87,18,1566,1566
BS,BS1,BC1P1,1,1,107,55,5885,5885
CR,CR1,BC1P2,1,1,65,42,2730,2730
CR,CR2,BC1P1,1,1,109,51,5559,5559
CR,CR1,rF2,1,1,79,37,2923,2923
BS,BS2,F2,1,1,122,45,5490,5490
CR,CR2,F2,1,1,116,54,6264,6264
CR,CR2,BC1P2,1,1,65,48,3120,3120
BS,BS1,rF2,1,1,144,43,6192,6192
BS,BS1,BC1P1,1,1,151,40,6040,6040
BS,BS1,P1,1,1,146,40,5840,5840
BS,BS1,F2,1,1,56,51,2856,2856
BS,BS2,P2,1,1,91,51,4641,4641
BS,BS2,rF2,1,1,96,17,1632,1632
BS,BS2,rF2,1,0,85,20,1700,1700
CR,CR2,rF2,1,1,93,53,4929,4929
CR,CR1,P1,1,1,115,45,5175,5175
CR,CR1,F2,1,1,95,44,4180,4180
CR,CR2,BC1P1,1,1,115,43,4945,4945
BS,BS1,P2,1,1,89,44,3916,3916
BS,BS1,F2,1,1,65,51,3315,3315
CR,CR1,BC1P2,1,1,80,49,3920,3920
CR,CR2,BC1P1,1,1,91,51,4641,4641
BS,BS1,rF2,1,1,132,42,5544,5544
BS,BS2,BC1P2,1,0,19,17,323,323
CR,CR1,BC1P2,1,1,83,44,3652,3652
CR,CR1,P1,1,1,124,48,5952,5952
BS,BS1,BC1P2,1,1,62,46,2852,2852
