PopSet,LinePair,JointScaleCrossType,AliveYoN,SizeCat,FruitNum,SeedNumPerFruit,FxS,Cumulfit
BS,BS1,BC1P1,1,1,131,46,6026,6026
BS,BS2,BC1P2,1,1,163,41,6683,6683
CR,CR2,rF2,1,1,94,46,4324,4324
CR,CR2,F1,1,1,100,28,2800,2800
CR,CR2,rF2,1,1,93,49,4557,4557
CR,CR1,rF2,1,1,91,39,3549,3549
BS,BS2,F2,1,1,63,45,2835,2835
CR,CR1,P2,1,1,62,47,2914,2914
CR,CR2,BC1P2,1,1,72,47,3384,3384
BS,BS2,F2,1,1,142,37,5254,5254
BS,BS1,rF2,1,1,106,42,4452,4452
BS,BS1,BC1P1,1,1,118,50,5900,5900
BS,BS2,rF2,1,1,147,40,5880,5880
BS,BS1,rF2,1,1,105,44,4620,4620
CR,CR1,F2,1,1,82,54,4428,4428
CR,CR2,BC1P1,1,1,125,53,6625,6625
CR,CR1,F2,1,1,86,40,3440,3440
BS,BS2,BC1P1,1,1,131,29,3799,3799
CR,CR1,rF2,1,1,87,39,3393,3393
BS,BS1,rF2,1,1,96,42,4032,4032
CR,CR1,rF2,1,1,97,40,3880,3880
BS,BS1,F2,1,1,72,42,3024,3024
CR,CR1,rF2,1,1,76,47,3572,3572
CR,CR2,rF2,1,1,112,49,5488,5488
BS,BS1,rF1,1,0,61,17,1037,1037
CR,CR1,BC1P1,1,1,99,48,4752,4752
CR,CR2,BC1P1,1,1,91,48,4368,4368
BS,BS1,P2,1,1,90,37,3330,3330
BS,BS1,rF2,1,1,134,33,4422,4422
BS,BS1,rF2,1,1,105,43,4515,4515
CR,CR2,BC1P2,1,1,66,45,2970,2970
CR,CR1,rF2,1,1,82,29,2378,2378
BS,BS2,BC1P2,1,1,132,22,2904,2904
BS,BS2,BC1P2,1,1,98,40,3920,3920
BS,BS2,F2,1,1,118,44,5192,5192
BS,BS1,F2,1,1,77,46,3542,3542
CR,CR2,F1,1,1,81,47,3807,3807
BS,BS2,P1,1,1,101,46,4646,4646
BS,BS1,F2,1,1,88,55,4840,4840
CR,CR1,BC1P1,1,1,97,51,4947,4947
BS,BS2,F2,1,1,107,42,4494,4494
BS,BS1,F2,1,1,114,40,4560,4560
CR,CR1,F2,1,1,104,43,4472,4472
CR,CR1,rF2,1,1,88,49,4312,4312
BS,BS1,BC1P2,1,1,130,43,5590,5590
BS,BS2,BC1P1,1,1,136,43,5848,5848
CR,CR2,BC1P1,1,1,79,44,3476,3476
BS,BS1,BC1P2,1,1,53,43,2279,2279
BS,BS1,F1,1,1,84,51,4284,4284
CR,CR1,BC1P2,1,1,66,46,3036,3036
CR,CR1,rF2,1,1,108,49,5292,5292
BS,BS1,F1,1,1,83,39,3237,3237
BS,BS2,F1,1,0,46,26,1196,1196
BS,BS2,F1,1,0,32,19,608,608
BS,BS2,BC1P1,1,1,163,34,5542,5542
BS,BS1,BC1P1,1,1,92,48,4416,4416
BS,BS1,BC1P1,1,1,139,42,5838,5838
BS,BS1,BC1P1,1,1,110,45,4950,4950
CR,CR1,P1,1,1,98,50,4900,4900
BS,BS1,F2,1,1,82,42,3444,3444
CR,CR2,rF2,1,1,109,51,5559,5559
CR,CR2,P2,1,1,62,43,2666,2666
CR,CR2,F2,1,1,98,43,4214,4214
BS,BS2,rF2,1,1,96,11,1056,1056
BS,BS2,BC1P1,1,0,99,36,3564,3564
BS,BS1,P1,1,1,103,45,4635,4635
BS,BS1,BC1P2,1,1,88,37,3256,3256
CR,CR1,BC1P2,1,1,75,62,4650,4650
CR,CR1,F2,1,1,101,45,4545,4545
BS,BS1,F2,1,1,130,49,6370,6370
CR,CR1,BC1P1,1,1,83,52,4316,4316
BS,BS1,F2,1,1,103,16,1648,1648
CR,CR1,BC1P1,1,1,117,36,4212,4212
CR,CR2,F2,1,1,93,44,4092,4092
CR,CR2,BC1P2,1,1,75,48,3600,3600
BS,BS2,F1,1,0,72,28,2016,2016
CR,CR2,rF2,1,1,75,44,3300,3300
CR,CR2,rF2,1,1,109,49,5341,5341
BS,BS2,BC1P2,1,1,125,34,4250,4250
BS,BS2,BC1P1,1,1,167,54,9018,9018
BS,BS1,BC1P2,1,1,66,46,3036,3036
BS,BS2,BC1P1,1,1,116,37,4292,4292
BS,BS2,rF2,1,1,135,40,5400,5400
CR,CR1,F2,1,1,97,31,3007,3007
CR,CR2,F2,1,1,92,40,3680,3680
CR,CR2,F2,1,1,105,44,4620,4620
CR,CR2,BC1P1,1,1,89,45,4005,4005
BS,BS1,P1,1,1,132,46,6072,6072
CR,CR1,BC1P1,1,1,113,48,5424,5424
CR,CR2,BC1P2,1,1,96,49,4704,4704
CR,CR1,rF2,1,1,122,48,5856,5856
CR,CR1,BC1P2,1,1,69,42,2898,2898
BS,BS1,P1,1,1,121,51,6171,6171
BS,BS1,F2,1,1,102,41,4182,4182
CR,CR2,BC1P2,1,1,75,46,3450,3450
BS,BS2,rF2,1,1,106,29,3074,3074
CR,CR1,F2,1,1,102,50,5100,5100
BS,BS1,BC1P1,1,1,105,55,5775,5775
CR,CR1,F1,1,1,81,50,4050,4050
BS,BS1,F2,1,1,89,48,4272,4272
CR,CR2,rF2,1,1,113,50,5650,5650
CR,CR2,P2,1,1,56,53,2968,2968
BS,BS1,F2,1,1,103,50,5150,5150
CR,CR1,rF2,1,1,77,40,3080,3080
CR,CR2,F1,1,1,80,48,3840,3840
BS,BS2,rF2,1,1,95,5,475,475
CR,CR2,BC1P2,1,1,87,43,3741,3741
BS,BS2,BC1P1,1,1,116,47,5452,5452
BS,BS1,BC1P2,1,1,102,41,4182,4182
BS,BS2,rF2,1,1,117,38,4446,4446
BS,BS2,F2,1,0,77,24,1848,1848
CR,CR2,BC1P2,1,1,71,51,3621,3621
CR,CR2,P2,1,1,63,46,2898,2898
BS,BS2,BC1P2,1,1,98,42,4116,4116
BS,BS2,BC1P2,1,1,99,39,3861,3861
CR,CR1,BC1P2,1,1,103,38,3914,3914
CR,CR1,BC1P2,1,1,100,42,4200,4200
BS,BS2,BC1P2,1,1,100,50,5000,5000
CR,CR2,rF2,1,1,110,52,5720,5720
CR,CR2,P1,1,1,119,47,5593,5593
BS,BS2,F1,1,0,94,26,2444,2444
CR,CR1,F2,1,1,104,43,4472,4472
BS,BS1,F2,1,1,67,47,3149,3149
BS,BS2,rF2,1,1,101,49,4949,4949
CR,CR2,BC1P2,1,1,99,56,5544,5544
BS,BS2,F2,1,1,109,59,6431,6431
CR,CR1,BC1P1,1,1,86,28,2408,2408
BS,BS1,BC1P1,1,1,125,24,3000,3000
CR,CR2,rF1,1,1,116,46,5336,5336
BS,BS1,BC1P1,1,1,95,59,5605,5605
BS,BS2,F1,1,0,68,25,1700,1700
BS,BS1,BC1P2,1,1,106,46,4876,4876
CR,CR2,rF2,1,1,85,46,3910,3910
CR,CR1,rF2,1,1,110,43,4730,4730
BS,BS1,BC1P1,1,0,101,24,2424,2424
BS,BS2,rF2,1,1,131,52,6812,6812
BS,BS1,BC1P1,1,1,100,47,4700,4700
BS,BS1,rF1,1,1,131,51,6681,6681
BS,BS2,BC1P1,1,1,146,43,6278,6278
BS,BS2,F2,1,1,135,42,5670,5670
BS,BS2,rF2,1,1,134,20,2680,2680
CR,CR1,BC1P1,1,1,101,50,5050,5050
CR,CR2,P1,1,1,123,57,7011,7011
BS,BS2,rF2,1,1,131,31,4061,4061
CR,CR1,BC1P1,1,1,83,25,2075,2075
CR,CR1,BC1P2,1,1,82,53,4346,4346
CR,CR2,BC1P1,1,1,112,47,5264,5264
CR,CR2,rF1,1,1,90,41,3690,3690
BS,BS2,BC1P1,1,1,107,39,4173,4173
BS,BS2,F1,1,0,77,28,2156,2156
BS,BS1,F2,1,1,92,45,4140,4140
CR,CR2,F1,1,1,73,47,3431,3431
BS,BS1,BC1P1,1,1,103,37,3811,3811
BS,BS1,F2,1,1,100,31,3100,3100
BS,BS1,BC1P2,1,1,67,45,3015,3015
CR,CR1,BC1P2,1,1,83,33,2739,2739
BS,BS2,BC1P1,1,0,102,31,3162,3162
CR,CR2,F1,1,1,79,48,3792,3792
BS,BS1,P1,1,1,152,55,8360,8360
CR,CR2,rF2,1,1,119,42,4998,4998
BS,BS2,F1,1,0,75,37,2775,2775
BS,BS2,F2,1,1,110,44,4840,4840
CR,CR1,P2,1,1,92,35,3220,3220
CR,CR2,rF1,1,1,98,47,4606,4606
BS,BS1,F2,1,1,77,49,3773,3773
BS,BS2,F2,1,0,69,20,1380,1380
BS,BS2,BC1P1,1,1,125,44,5500,5500
BS,BS1,F2,1,1,55,52,2860,2860
CR,CR2,rF2,1,1,95,41,3895,3895
BS,BS1,BC1P1,1,1,129,50,6450,6450
BS,BS2,F2,1,1,215,9,1935,1935
CR,CR1,F2,1,1,111,29,3219,3219
BS,BS2,BC1P2,1,1,110,51,5610,5610
CR,CR1,BC1P2,1,1,104,49,5096,5096
CR,CR1,F1,1,1,98,30,2940,2940
BS,BS2,rF2,1,1,107,41,4387,4387
BS,BS2,rF2,1,1,123,47,5781,5781
BS,BS2,F2,1,1,183,23,4209,4209
BS,BS1,rF1,1,1,122,43,5246,5246
CR,CR1,F1,1,1,128,38,4864,4864
BS,BS2,BC1P1,1,0,80,33,2640,2640
CR,CR2,F2,1,1,87,23,2001,2001
CR,CR1,rF2,1,1,138,41,5658,5658
CR,CR1,rF2,1,1,90,47,4230,4230
BS,BS1,rF2,1,0,82,18,1476,1476
BS,BS1,F1,1,1,96,49,4704,4704
CR,CR2,BC1P1,1,1,120,43,5160,5160
CR,CR2,BC1P1,1,1,95,45,4275,4275
BS,BS2,F1,1,0,102,27,2754,2754
BS,BS1,BC1P2,1,1,118,49,5782,5782
BS,BS2,BC1P2,1,1,138,34,4692,4692
CR,CR2,F1,1,1,91,51,4641,4641
CR,CR2,F1,1,1,106,52,5512,5512
BS,BS1,rF1,1,1,111,36,3996,3996
BS,BS1,rF1,1,0,81,19,1539,1539
BS,BS2,P2,1,1,83,43,3569,3569
CR,CR2,BC1P2,1,1,91,53,4823,4823
CR,CR1,F2,1,1,113,41,4633,4633
BS,BS1,BC1P1,1,1,176,9,1584,1584
CR,CR1,BC1P1,1,1,140,49,6860,6860
CR,CR2,BC1P1,1,1,103,48,4944,4944
CR,CR2,P1,1,1,150,39,5850,5850
CR,CR2,F2,1,1,104,42,4368,4368
BS,BS1,rF2,1,1,117,52,6084,6084
BS,BS1,F2,1,1,123,31,3813,3813
CR,CR2,rF2,1,1,107,44,4708,4708
CR,CR2,F2,1,1,94,37,3478,3478
